,Filename,Polycount,Non-Manifold Parts,Self Intersecting Parts
0,3d-vh-f-eye-l-100.fbx,124284,"['VH_F_palpebral_conjunctiva_of_left_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_left_lower_eyelid', 'VH_F_bulbar_conjunctiva_L', 'VH_F_iris_L', 'VH_F_trabecular_meshwork_L', 'VH_F_ciliary_muscle_L', 'VH_F_aqueous_humor_L', 'VH_F_ora_serrata_of_retina_L']","['VH_F_palpebral_conjunctiva_of_left_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_left_lower_eyelid', 'VH_F_bulbar_conjunctiva_L', 'VH_F_iris_L', 'VH_F_ciliary_muscle_L', 'VH_F_ora_serrata_of_retina_L', 'VH_F_pupil_L', 'VH_F_optic_choroid_L', 'VH_F_sclera_L']"
1,3d-vh-f-eye-l-20.fbx,23978,"['VH_F_palpebral_conjunctiva_of_left_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_left_lower_eyelid', 'VH_F_bulbar_conjunctiva_L', 'VH_F_iris_L', 'VH_F_trabecular_meshwork_L', 'VH_F_ciliary_muscle_L', 'VH_F_aqueous_humor_L', 'VH_F_ora_serrata_of_retina_L', 'VH_F_pupil_L']","['VH_F_palpebral_conjunctiva_of_left_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_left_lower_eyelid', 'VH_F_iris_L', 'VH_F_ciliary_muscle_L']"
2,3d-vh-f-eye-l-40.fbx,48311,"['VH_F_palpebral_conjunctiva_of_left_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_left_lower_eyelid', 'VH_F_bulbar_conjunctiva_L', 'VH_F_iris_L', 'VH_F_trabecular_meshwork_L', 'VH_F_ciliary_muscle_L', 'VH_F_aqueous_humor_L', 'VH_F_ora_serrata_of_retina_L']","['VH_F_palpebral_conjunctiva_of_left_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_left_lower_eyelid', 'VH_F_bulbar_conjunctiva_L', 'VH_F_iris_L', 'VH_F_ciliary_muscle_L', 'VH_F_pupil_L']"
3,3d-vh-f-eye-l-80.fbx,98486,"['VH_F_palpebral_conjunctiva_of_left_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_left_lower_eyelid', 'VH_F_bulbar_conjunctiva_L', 'VH_F_iris_L', 'VH_F_trabecular_meshwork_L', 'VH_F_ciliary_muscle_L', 'VH_F_aqueous_humor_L', 'VH_F_ora_serrata_of_retina_L']","['VH_F_palpebral_conjunctiva_of_left_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_left_lower_eyelid', 'VH_F_bulbar_conjunctiva_L', 'VH_F_iris_L', 'VH_F_ciliary_muscle_L', 'VH_F_pupil_L', 'VH_F_sclera_L']"
4,3d-vh-f-eye-r-100.fbx,124556,"['VH_F_palpebral_conjunctiva_of_right_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_right_lower_eyelid', 'VH_F_pupil_R', 'VH_F_ora_serrata_of_retina_R', 'VH_F_schlemms_canal_R', 'VH_F_aqueous_humor_R', 'VH_F_ciliary_muscle_R', 'VH_F_trabecular_meshwork_R', 'VH_F_iris_R', 'VH_F_bulbar_conjunctiva_R']","['VH_F_optic_disc_R', 'VH_F_palpebral_conjunctiva_of_right_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_right_lower_eyelid', 'VH_F_ora_serrata_of_retina_R', 'VH_F_aqueous_humor_R', 'VH_F_ciliary_muscle_R', 'VH_F_iris_R', 'VH_F_bulbar_conjunctiva_R']"
5,3d-vh-f-eye-r-20.fbx,24102,"['VH_F_palpebral_conjunctiva_of_right_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_right_lower_eyelid', 'VH_F_pupil_R', 'VH_F_ora_serrata_of_retina_R', 'VH_F_aqueous_humor_R', 'VH_F_ciliary_muscle_R', 'VH_F_trabecular_meshwork_R', 'VH_F_iris_R', 'VH_F_bulbar_conjunctiva_R']","['VH_F_palpebral_conjunctiva_of_right_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_right_lower_eyelid', 'VH_F_ciliary_muscle_R', 'VH_F_iris_R']"
6,3d-vh-f-eye-r-40.fbx,48567,"['VH_F_palpebral_conjunctiva_of_right_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_right_lower_eyelid', 'VH_F_pupil_R', 'VH_F_ora_serrata_of_retina_R', 'VH_F_aqueous_humor_R', 'VH_F_ciliary_muscle_R', 'VH_F_trabecular_meshwork_R', 'VH_F_iris_R', 'VH_F_bulbar_conjunctiva_R']","['VH_F_optic_disc_R', 'VH_F_palpebral_conjunctiva_of_right_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_right_lower_eyelid', 'VH_F_ciliary_muscle_R', 'VH_F_iris_R', 'VH_F_bulbar_conjunctiva_R']"
7,3d-vh-f-eye-r-80.fbx,98738,"['VH_F_palpebral_conjunctiva_of_right_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_right_lower_eyelid', 'VH_F_pupil_R', 'VH_F_ora_serrata_of_retina_R', 'VH_F_aqueous_humor_R', 'VH_F_ciliary_muscle_R', 'VH_F_trabecular_meshwork_R', 'VH_F_iris_R', 'VH_F_bulbar_conjunctiva_R']","['VH_F_optic_disc_R', 'VH_F_palpebral_conjunctiva_of_right_upper_eyelid', 'VH_F_palpebral_conjunctiva_of_right_lower_eyelid', 'VH_F_ciliary_muscle_R', 'VH_F_bulbar_conjunctiva_R']"
8,3d-vh-f-larynx-100.fbx,17283,[],[]
9,3d-vh-f-larynx-20.fbx,3456,[],[]
10,3d-vh-f-larynx-40.fbx,6916,[],[]
11,3d-vh-f-larynx-80.fbx,13832,[],[]
12,3d-vh-f-lung-100.fbx,275602,"['VH_F_right_posterior_basal_bronchopulmonary_segment', 'VH_F_cartilage_of_lobar_bronchus_L', 'VH_F_cartilage_of_tertiary_bronchus_L', 'VH_F_left_apical_bronchus', 'VH_F_cartilage_of_lobar_bronchus_R', 'VH_F_cartilage_of_tertiary_bronchus_R', 'VH_F_right_superior_lobar_bronchus', 'VH_F_right_medial_bronchus', 'VH_F_right_posterior_bronchus', 'VH_F_right_apical_bronchus']","['VH_F_hilum_L', 'VH_F_hilum_upper_L', 'VH_F_lingula_superior_bronchopulmonary_segment', 'VH_F_left_anterior_bronchopulmonary_segment', 'VH_F_left_apical_bronchopulmonary_segment', 'VH_F_left_posterior_bronchopulmonary_segment', 'VH_F_lingula_inferior_bronchopulmonary_segment', 'VH_F_left_superior_bronchopulmonary_segment', 'VH_F_left_posterior_basal_bronchopulmonary_segment', 'VH_F_left_anterior_basal_bronchopulmonary_segment', 'VH_F_left_lateral_basal_bronchopulmonary_segment', 'VH_F_left_medial_basal_bronchopulmonary_segment', 'VH_F_hilum_lower_L', 'VH_F_hilum_R', 'VH_F_right_medial_basal_bronchopulmonary_segment', 'VH_F_right_anterior_basal_bronchopulmonary_segment', 'VH_F_right_lateral_basal_bronchopulmonary_segment', 'VH_F_right_superior_bronchopulmonary_segment', 'VH_F_hilum_lower_R', 'VH_F_right_medial_bronchopulmonary_segment', 'VH_F_right_lateral_bronchopulmonary_segmennt', 'VH_F_hilum_middle_R', 'VH_F_right_anterior_bronchopulmonary_segm', 'VH_F_right_posterior_bronchopulmonary_segment', 'VH_F_hilum_upper_R', 'VH_F_cartilage_of_lobar_bronchus_L', 'VH_F_cartilage_of_tertiary_bronchus_L', 'VH_F_left_anterior_basal_bronchus', 'VH_F_cartilage_of_lobar_bronchus_R', 'VH_F_cartilage_of_tertiary_bronchus_R', 'VH_F_right_apical_bronchus']"
13,3d-vh-f-lung-20.fbx,55614,"['VH_F_cartilage_of_lobar_bronchus_L', 'VH_F_cartilage_of_tertiary_bronchus_L', 'VH_F_left_apical_bronchus', 'VH_F_cartilage_of_lobar_bronchus_R', 'VH_F_cartilage_of_tertiary_bronchus_R', 'VH_F_right_medial_bronchus', 'VH_F_right_posterior_bronchus', 'VH_F_right_apical_bronchus']","['VH_F_hilum_L', 'VH_F_hilum_upper_L', 'VH_F_lingula_superior_bronchopulmonary_segment', 'VH_F_left_posterior_bronchopulmonary_segment', 'VH_F_lingula_inferior_bronchopulmonary_segment', 'VH_F_left_posterior_basal_bronchopulmonary_segment', 'VH_F_left_anterior_basal_bronchopulmonary_segment', 'VH_F_left_lateral_basal_bronchopulmonary_segment', 'VH_F_left_medial_basal_bronchopulmonary_segment', 'VH_F_hilum_lower_L', 'VH_F_hilum_R', 'VH_F_right_medial_basal_bronchopulmonary_segment', 'VH_F_right_anterior_basal_bronchopulmonary_segment', 'VH_F_right_lateral_basal_bronchopulmonary_segment', 'VH_F_hilum_lower_R', 'VH_F_right_medial_bronchopulmonary_segment', 'VH_F_hilum_middle_R', 'VH_F_right_posterior_bronchopulmonary_segment', 'VH_F_hilum_upper_R', 'VH_F_cartilage_of_lobar_bronchus_L', 'VH_F_cartilage_of_tertiary_bronchus_L', 'VH_F_cartilage_of_lobar_bronchus_R', 'VH_F_cartilage_of_tertiary_bronchus_R', 'VH_F_right_apical_bronchus']"
14,3d-vh-f-lung-40.fbx,111993,"['VH_F_cartilage_of_lobar_bronchus_L', 'VH_F_cartilage_of_tertiary_bronchus_L', 'VH_F_left_apical_bronchus', 'VH_F_cartilage_of_lobar_bronchus_R', 'VH_F_cartilage_of_tertiary_bronchus_R', 'VH_F_right_superior_lobar_bronchus', 'VH_F_right_medial_bronchus', 'VH_F_right_posterior_bronchus', 'VH_F_right_apical_bronchus']","['VH_F_hilum_L', 'VH_F_hilum_upper_L', 'VH_F_lingula_superior_bronchopulmonary_segment', 'VH_F_left_anterior_bronchopulmonary_segment', 'VH_F_left_apical_bronchopulmonary_segment', 'VH_F_left_posterior_bronchopulmonary_segment', 'VH_F_lingula_inferior_bronchopulmonary_segment', 'VH_F_left_superior_bronchopulmonary_segment', 'VH_F_left_posterior_basal_bronchopulmonary_segment', 'VH_F_left_anterior_basal_bronchopulmonary_segment', 'VH_F_left_lateral_basal_bronchopulmonary_segment', 'VH_F_left_medial_basal_bronchopulmonary_segment', 'VH_F_hilum_lower_L', 'VH_F_hilum_R', 'VH_F_right_medial_basal_bronchopulmonary_segment', 'VH_F_right_posterior_basal_bronchopulmonary_segment', 'VH_F_right_anterior_basal_bronchopulmonary_segment', 'VH_F_right_lateral_basal_bronchopulmonary_segment', 'VH_F_hilum_lower_R', 'VH_F_right_lateral_bronchopulmonary_segmennt', 'VH_F_hilum_middle_R', 'VH_F_right_anterior_bronchopulmonary_segm', 'VH_F_right_posterior_bronchopulmonary_segment', 'VH_F_hilum_upper_R', 'VH_F_cartilage_of_lobar_bronchus_L', 'VH_F_cartilage_of_tertiary_bronchus_L', 'VH_F_cartilage_of_lobar_bronchus_R', 'VH_F_cartilage_of_tertiary_bronchus_R']"
15,3d-vh-f-lung-80.fbx,226082,"['VH_F_right_posterior_basal_bronchopulmonary_segment', 'VH_F_cartilage_of_lobar_bronchus_L', 'VH_F_cartilage_of_tertiary_bronchus_L', 'VH_F_left_apical_bronchus', 'VH_F_cartilage_of_lobar_bronchus_R', 'VH_F_cartilage_of_tertiary_bronchus_R', 'VH_F_right_superior_lobar_bronchus', 'VH_F_right_medial_bronchus', 'VH_F_right_posterior_bronchus', 'VH_F_right_apical_bronchus']","['VH_F_hilum_L', 'VH_F_hilum_upper_L', 'VH_F_lingula_superior_bronchopulmonary_segment', 'VH_F_left_apical_bronchopulmonary_segment', 'VH_F_left_posterior_bronchopulmonary_segment', 'VH_F_lingula_inferior_bronchopulmonary_segment', 'VH_F_left_superior_bronchopulmonary_segment', 'VH_F_left_posterior_basal_bronchopulmonary_segment', 'VH_F_left_anterior_basal_bronchopulmonary_segment', 'VH_F_left_lateral_basal_bronchopulmonary_segment', 'VH_F_left_medial_basal_bronchopulmonary_segment', 'VH_F_hilum_lower_L', 'VH_F_hilum_R', 'VH_F_right_medial_basal_bronchopulmonary_segment', 'VH_F_right_anterior_basal_bronchopulmonary_segment', 'VH_F_right_lateral_basal_bronchopulmonary_segment', 'VH_F_hilum_lower_R', 'VH_F_right_medial_bronchopulmonary_segment', 'VH_F_right_lateral_bronchopulmonary_segmennt', 'VH_F_hilum_middle_R', 'VH_F_right_anterior_bronchopulmonary_segm', 'VH_F_right_apical_bronchopulmonary_segment', 'VH_F_right_posterior_bronchopulmonary_segment', 'VH_F_hilum_upper_R', 'VH_F_cartilage_of_lobar_bronchus_L', 'VH_F_cartilage_of_tertiary_bronchus_L', 'VH_F_left_anterior_basal_bronchus', 'VH_F_cartilage_of_lobar_bronchus_R', 'VH_F_cartilage_of_tertiary_bronchus_R', 'VH_F_right_apical_bronchus']"
16,3d-vh-f-main-bronchus-100.fbx,31031,"['VH_F_cartilage_of_main_bronchus_R', 'VH_F_cartilage_of_main_bronchus_L']","['VH_F_cartilage_of_main_bronchus_R', 'VH_F_cartilage_of_main_bronchus_L']"
17,3d-vh-f-main-bronchus-20.fbx,6133,"['VH_F_cartilage_of_main_bronchus_R', 'VH_F_cartilage_of_main_bronchus_L']","['VH_F_cartilage_of_main_bronchus_R', 'VH_F_cartilage_of_main_bronchus_L']"
18,3d-vh-f-main-bronchus-40.fbx,12264,"['VH_F_cartilage_of_main_bronchus_R', 'VH_F_cartilage_of_main_bronchus_L']","['VH_F_cartilage_of_main_bronchus_R', 'VH_F_cartilage_of_main_bronchus_L']"
19,3d-vh-f-main-bronchus-80.fbx,25114,"['VH_F_cartilage_of_main_bronchus_R', 'VH_F_cartilage_of_main_bronchus_L']","['VH_F_cartilage_of_main_bronchus_R', 'VH_F_cartilage_of_main_bronchus_L']"
20,3d-vh-f-mammary-gland-l-100.fbx,260653,"['VH_F_fat_L', 'VH_F_areolar_tubercles_L', 'VH_F_areola_L', 'VH_F_mammary_lobes_L', 'VH_F_main_lactiferous_ducts_L', 'VH_F_suspensory_ligaments_L']","['VH_F_fat_L', 'VH_F_areolar_tubercles_L', 'VH_F_nipple_L', 'VH_F_mammary_lobes_L', 'VH_F_main_lactiferous_ducts_L', 'VH_F_main_lactiferous_sinuses_L']"
21,3d-vh-f-mammary-gland-l-20.fbx,51722,"['VH_F_fat_L', 'VH_F_mammary_lobes_L', 'VH_F_main_lactiferous_ducts_L', 'VH_F_suspensory_ligaments_L']","['VH_F_fat_L', 'VH_F_areolar_tubercles_L', 'VH_F_nipple_L', 'VH_F_mammary_lobes_L', 'VH_F_main_lactiferous_ducts_L', 'VH_F_main_lactiferous_sinuses_L']"
22,3d-vh-f-mammary-gland-l-40.fbx,103029,"['VH_F_fat_L', 'VH_F_mammary_lobes_L', 'VH_F_main_lactiferous_ducts_L', 'VH_F_suspensory_ligaments_L']","['VH_F_fat_L', 'VH_F_areolar_tubercles_L', 'VH_F_nipple_L', 'VH_F_mammary_lobes_L', 'VH_F_main_lactiferous_ducts_L', 'VH_F_main_lactiferous_sinuses_L', 'VH_F_suspensory_ligaments_L']"
23,3d-vh-f-mammary-gland-l-80.fbx,206701,"['VH_F_fat_L', 'VH_F_mammary_lobes_L', 'VH_F_main_lactiferous_ducts_L', 'VH_F_suspensory_ligaments_L']","['VH_F_fat_L', 'VH_F_areolar_tubercles_L', 'VH_F_nipple_L', 'VH_F_mammary_lobes_L', 'VH_F_main_lactiferous_ducts_L', 'VH_F_main_lactiferous_sinuses_L', 'VH_F_suspensory_ligaments_L']"
24,3d-vh-f-mammary-gland-r-100.fbx,518833,"['VH_F_fat_R', 'VH_F_areolar_tubercles_R', 'VH_F_main_lactiferous_ducts_R', 'VH_F_mammary_lobes_R', 'VH_F_suspensory_ligaments_R']","['VH_F_fat_R', 'VH_F_areolar_tubercles_R', 'VH_F_nipple_R', 'VH_F_main_lactiferous_sinuses_R', 'VH_F_main_lactiferous_ducts_R', 'VH_F_mammary_lobes_R']"
25,3d-vh-f-mammary-gland-r-20.fbx,103147,"['VH_F_fat_R', 'VH_F_areolar_tubercles_R', 'VH_F_main_lactiferous_sinuses_R', 'VH_F_main_lactiferous_ducts_R', 'VH_F_mammary_lobes_R', 'VH_F_suspensory_ligaments_R']","['VH_F_fat_R', 'VH_F_areolar_tubercles_R', 'VH_F_nipple_R', 'VH_F_main_lactiferous_sinuses_R', 'VH_F_main_lactiferous_ducts_R', 'VH_F_mammary_lobes_R']"
26,3d-vh-f-mammary-gland-r-40.fbx,205123,"['VH_F_fat_R', 'VH_F_areolar_tubercles_R', 'VH_F_main_lactiferous_sinuses_R', 'VH_F_main_lactiferous_ducts_R', 'VH_F_mammary_lobes_R', 'VH_F_suspensory_ligaments_R']","['VH_F_fat_R', 'VH_F_areolar_tubercles_R', 'VH_F_nipple_R', 'VH_F_main_lactiferous_sinuses_R', 'VH_F_main_lactiferous_ducts_R', 'VH_F_mammary_lobes_R']"
27,3d-vh-f-mammary-gland-r-80.fbx,412752,"['VH_F_fat_R', 'VH_F_areolar_tubercles_R', 'VH_F_main_lactiferous_sinuses_R', 'VH_F_main_lactiferous_ducts_R', 'VH_F_mammary_lobes_R', 'VH_F_suspensory_ligaments_R']","['VH_F_fat_R', 'VH_F_areolar_tubercles_R', 'VH_F_nipple_R', 'VH_F_main_lactiferous_sinuses_R', 'VH_F_main_lactiferous_ducts_R', 'VH_F_mammary_lobes_R']"
28,3d-vh-f-palatine-tonsil-l-100.fbx,16588,['VH_F_palatine_tonsil_L'],['VH_F_palatine_tonsil_L']
29,3d-vh-f-palatine-tonsil-l-20.fbx,3325,[],['VH_F_palatine_tonsil_L']
30,3d-vh-f-palatine-tonsil-l-40.fbx,6578,[],['VH_F_palatine_tonsil_L']
31,3d-vh-f-palatine-tonsil-l-80.fbx,13237,['VH_F_palatine_tonsil_L'],['VH_F_palatine_tonsil_L']
32,3d-vh-f-palatine-tonsil-r-100.fbx,12134,[],[]
33,3d-vh-f-palatine-tonsil-r-20.fbx,2430,[],[]
34,3d-vh-f-palatine-tonsil-r-40.fbx,4862,[],[]
35,3d-vh-f-palatine-tonsil-r-80.fbx,9724,[],[]
36,3d-vh-f-skin-100.fbx,382621,[],['VH_F_skin']
37,3d-vh-f-skin-20.fbx,76516,[],['VH_F_skin']
38,3d-vh-f-skin-40.fbx,153042,[],['VH_F_skin']
39,3d-vh-f-skin-80.fbx,306098,[],['VH_F_skin']
40,3d-vh-f-trachea-100.fbx,27205,['VH_F_tracheal_cartilage'],['VH_F_trachea']
41,3d-vh-f-trachea-20.fbx,5460,[],['VH_F_trachea']
42,3d-vh-f-trachea-40.fbx,10947,['VH_F_tracheal_cartilage'],['VH_F_trachea']
43,3d-vh-f-trachea-80.fbx,21958,['VH_F_tracheal_cartilage'],['VH_F_trachea']
44,3d-vh-m-eye-l-100.fbx,124138,"['VH_M_palpebral_conjunctiva_of_upper_eyelid_L', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_L', 'VH_M_bulbar_conjunctiva_L', 'VH_M_iris_L', 'VH_M_trabecular_meshwork_L', 'VH_M_ciliary_muscle_L', 'VH_M_aqueous_humor_L', 'VH_M_ora_serrata_of_retina_L']","['VH_M_optic_disc_L', 'VH_M_palpebral_conjunctiva_of_upper_eyelid_L', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_L', 'VH_M_bulbar_conjunctiva_L', 'VH_M_iris_L', 'VH_M_ciliary_muscle_L', 'VH_M_ora_serrata_of_retina_L', 'VH_M_optic_choroid_L', 'VH_M_sclera_L']"
45,3d-vh-m-eye-l-20.fbx,23953,"['VH_M_optic_disc_L', 'VH_M_palpebral_conjunctiva_of_upper_eyelid_L', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_L', 'VH_M_bulbar_conjunctiva_L', 'VH_M_iris_L', 'VH_M_trabecular_meshwork_L', 'VH_M_ciliary_muscle_L', 'VH_M_aqueous_humor_L', 'VH_M_ora_serrata_of_retina_L']","['VH_M_optic_disc_L', 'VH_M_palpebral_conjunctiva_of_upper_eyelid_L', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_L', 'VH_M_iris_L', 'VH_M_ciliary_muscle_L']"
46,3d-vh-m-eye-l-40.fbx,48224,"['VH_M_optic_disc_L', 'VH_M_palpebral_conjunctiva_of_upper_eyelid_L', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_L', 'VH_M_bulbar_conjunctiva_L', 'VH_M_iris_L', 'VH_M_trabecular_meshwork_L', 'VH_M_ciliary_muscle_L', 'VH_M_aqueous_humor_L', 'VH_M_ora_serrata_of_retina_L']","['VH_M_optic_disc_L', 'VH_M_palpebral_conjunctiva_of_upper_eyelid_L', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_L', 'VH_M_bulbar_conjunctiva_L', 'VH_M_iris_L', 'VH_M_ciliary_muscle_L']"
47,3d-vh-m-eye-l-80.fbx,98339,"['VH_M_optic_disc_L', 'VH_M_palpebral_conjunctiva_of_upper_eyelid_L', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_L', 'VH_M_bulbar_conjunctiva_L', 'VH_M_iris_L', 'VH_M_trabecular_meshwork_L', 'VH_M_ciliary_muscle_L', 'VH_M_aqueous_humor_L', 'VH_M_ora_serrata_of_retina_L']","['VH_M_optic_disc_L', 'VH_M_palpebral_conjunctiva_of_upper_eyelid_L', 'VH_M_palpebral_conjunctiva_of_lower_eyelid_L', 'VH_M_bulbar_conjunctiva_L', 'VH_M_iris_L', 'VH_M_ciliary_muscle_L', 'VH_M_sclera_L']"
